TimePeriod,GeoType,GeoID,GeoRank,Geography,Bicycle (number),Bicycle (percent),"Car, truck, or van (number)","Car, truck, or van (percent)",Public transportation (number),Public transportation (percent),Walked (number),Walked (percent)
2017-21,NTA2020,470505,9,East New York-City Line,0,0,"4,666",26.7,"10,586",60.6,"1,165",6.7
2017-21,NTA2020,470601,9,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"1,653",5.1,"3,144",9.6,"16,161",49.4,"4,448",13.6
2017-21,NTA2020,470602,9,Park Slope,896,2.5,"2,876",8.2,"19,058",54.2,"2,554",7.3
2017-21,NTA2020,470701,9,Windsor Terrace-South Slope,398,2.8,"1,981",13.9,"8,090",56.9,"1,076",7.6
2017-21,NTA2020,470702,9,Sunset Park (West),462,1.8,"4,554",18.1,"14,168",56.3,"3,126",12.4
2017-21,NTA2020,470703,9,Sunset Park (Central),544,2.7,"4,312",21.4,"10,426",51.9,"3,229",16.1
2017-21,NTA2020,470801,9,Prospect Heights,533,3.7,"1,149",8,"8,039",56.3,887,6.2
2017-21,NTA2020,470802,9,Crown Heights (North),"1,649",3.8,"5,710",13.3,"26,660",62.1,"1,694",3.9
2017-21,NTA2020,470901,9,Crown Heights (South),321,1.3,"3,826",16,"14,507",60.7,"2,321",9.7
2017-21,NTA2020,470902,9,Prospect Lefferts Gardens-Wingate,385,1.7,"3,597",15.5,"14,319",61.5,"1,451",6.2
2017-21,NTA2020,471001,9,Bay Ridge,472,1.2,"10,461",25.5,"20,337",49.7,"3,223",7.9
2017-21,NTA2020,471002,9,Dyker Heights,503,2.7,"6,132",32.8,"7,857",42,"1,942",10.4
2017-21,NTA2020,471101,9,Bensonhurst,832,1.9,"12,831",28.6,"23,346",52,"4,200",9.4
2017-21,NTA2020,471102,9,Bath Beach,117,0.8,"4,805",33.2,"7,336",50.7,636,4.4
2017-21,NTA2020,471103,9,Gravesend (West),266,1,"7,105",27.5,"13,789",53.4,"2,013",7.8
2017-21,NTA2020,471201,9,Sunset Park (East)-Borough Park (West),178,1.5,"2,516",21.2,"5,385",45.4,"2,438",20.6
2017-21,NTA2020,471202,9,Borough Park,285,1.2,"6,900",28.7,"6,234",25.9,"8,169",34
2017-21,NTA2020,471203,9,Kensington,371,2.1,"3,723",20.8,"9,238",51.7,"1,154",6.5
2017-21,NTA2020,471204,9,Mapleton-Midwood (West),207,1.4,"5,245",36.3,"5,017",34.8,"2,461",17
2017-21,NTA2020,471301,9,Gravesend (South),13,0.1,"3,609",32.4,"5,438",48.9,"1,157",10.4
2017-21,NTA2020,471302,9,Coney Island-Sea Gate,27,0.2,"4,963",29.5,"8,584",51,"1,493",8.9
2017-21,NTA2020,471303,9,Brighton Beach,165,1.2,"3,030",22.9,"6,465",48.9,"2,264",17.1
2017-21,NTA2020,471401,9,Flatbush,513,1.4,"6,296",17.6,"23,639",66.1,"1,404",3.9
2017-21,NTA2020,471402,9,Flatbush (West)-Ditmas Park-Parkville,320,1.6,"4,834",24.1,"10,442",52.1,"1,488",7.4
2017-21,NTA2020,471403,9,Midwood,127,0.6,"7,646",35.7,"8,874",41.4,"2,144",10
2017-21,NTA2020,471501,9,Gravesend (East)-Homecrest,252,1.2,"7,689",35.4,"9,165",42.2,"2,283",10.5
2017-21,NTA2020,471502,9,Madison,200,1.1,"6,082",32.9,"8,667",46.9,"1,391",7.5
2017-21,NTA2020,471503,9,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,176,0.6,"12,084",40.5,"12,167",40.7,"1,889",6.3
2017-21,NTA2020,471601,9,Ocean Hill,237,1.4,"2,962",18,"11,198",68.1,834,5.1
2017-21,NTA2020,471602,9,Brownsville,23,0.1,"2,750",17.3,"10,892",68.5,"1,017",6.4
2017-21,NTA2020,471701,9,East Flatbush-Erasmus,295,1.3,"3,780",16.9,"14,844",66.4,"1,546",6.9
2017-21,NTA2020,471702,9,East Flatbush-Farragut,90,0.6,"4,999",30.9,"9,635",59.5,381,2.4
2017-21,NTA2020,471703,9,East Flatbush-Rugby,41,0.2,"5,733",29.2,"11,250",57.3,866,4.4
2017-21,NTA2020,471704,9,East Flatbush-Remsen Village,58,0.4,"4,025",26.2,"9,734",63.4,844,5.5
2017-21,NTA2020,471801,9,Flatlands,191,0.6,"12,440",39.5,"15,579",49.5,822,2.6
2017-21,NTA2020,471802,9,Marine Park-Mill Basin-Bergen Beach,81,0.4,"11,677",56.2,"6,375",30.7,695,3.3
2017-21,NTA2020,471803,9,Canarsie,60,0.1,"16,245",40.2,"20,848",51.6,"1,147",2.8
2017-21,NTA2020,610101,9,Financial District-Battery Park City,303,0.9,"1,491",4.6,"15,723",48.3,"8,127",25
2017-21,NTA2020,610102,9,Tribeca-Civic Center,174,1.4,598,4.8,"5,421",43.1,"2,827",22.5
2017-21,NTA2020,610201,9,SoHo-Little Italy-Hudson Square,437,2.9,911,6.1,"7,148",47.6,"2,654",17.7
2017-21,NTA2020,610202,9,Greenwich Village,789,4.2,"1,307",6.9,"6,867",36.2,"4,875",25.7
2017-21,NTA2020,610203,9,West Village,969,4.6,"1,081",5.1,"9,947",46.9,"3,635",17.1
2017-21,NTA2020,610301,9,Chinatown-Two Bridges,396,2.7,"1,552",10.7,"6,103",42,"4,938",34
2017-21,NTA2020,610302,9,Lower East Side,"1,281",6.1,"1,640",7.8,"10,975",52.2,"4,087",19.4
2017-21,NTA2020,610303,9,East Village,"2,551",6.7,"2,124",5.6,"17,933",47.2,"8,557",22.5
2017-21,NTA2020,610401,9,Chelsea-Hudson Yards,"1,477",3.6,"2,329",5.7,"18,049",44.5,"9,856",24.3
2017-21,NTA2020,610402,9,Hell's Kitchen,"1,059",3.1,"1,872",5.4,"14,334",41.3,"10,166",29.3
2017-21,NTA2020,610501,9,Midtown South-Flatiron-Union Square,290,1.6,"1,099",6.1,"7,151",39.7,"5,522",30.6
2017-21,NTA2020,610502,9,Midtown-Times Square,104,0.8,480,3.8,"4,764",37.4,"4,656",36.5
2017-21,NTA2020,610601,9,Stuyvesant Town-Peter Cooper Village,308,2.4,745,5.8,"5,650",44.1,"2,598",20.3
2017-21,NTA2020,610602,9,Gramercy,668,3.9,769,4.5,"7,488",43.6,"3,959",23
2017-21,NTA2020,610603,9,Murray Hill-Kips Bay,966,2.6,"2,261",6.1,"11,954",32,"13,501",36.1
2017-21,NTA2020,610604,9,East Midtown-Turtle Bay,260,1,"1,881",7.5,"7,176",28.6,"8,947",35.7
2017-21,NTA2020,610701,9,Upper West Side-Lincoln Square,"1,380",3.9,"2,856",8,"15,778",44.4,"6,579",18.5
2017-21,NTA2020,610702,9,Upper West Side (Central),"1,699",3.1,"3,538",6.4,"29,175",52.9,"4,586",8.3
2017-21,NTA2020,610703,9,Upper West Side-Manhattan Valley,608,2.2,"1,749",6.4,"15,632",57.5,"3,219",11.8
2017-21,NTA2020,610801,9,Upper East Side-Lenox Hill-Roosevelt Island,415,0.9,"3,283",6.9,"21,657",45.8,"12,213",25.8
2017-21,NTA2020,610802,9,Upper East Side-Carnegie Hill,493,1.8,"3,101",11.4,"10,942",40.2,"4,877",17.9
2017-21,NTA2020,610803,9,Upper East Side-Yorkville,516,1.1,"4,026",8.4,"26,663",55.3,"6,886",14.3
2017-21,NTA2020,610901,9,Morningside Heights,591,3.4,"1,178",6.9,"6,670",38.8,"5,202",30.3
2017-21,NTA2020,610902,9,Manhattanville-West Harlem,161,1.5,732,6.8,"6,830",63.4,"1,203",11.2
2017-21,NTA2020,610903,9,Hamilton Heights-Sugar Hill,293,1,"1,895",6.7,"19,189",67.8,"1,659",5.9
2017-21,NTA2020,611001,9,Harlem (South),335,1.2,"2,320",8.6,"17,228",64.2,"2,439",9.1
2017-21,NTA2020,611002,9,Harlem (North),511,1.4,"3,920",10.8,"24,189",66.4,"2,716",7.5
2017-21,NTA2020,611101,9,East Harlem (South),413,1.7,"1,617",6.6,"15,890",65,"3,460",14.2
2017-21,NTA2020,611102,9,East Harlem (North),548,2.2,"2,530",10.2,"17,085",68.8,"1,611",6.5
2017-21,NTA2020,611201,9,Washington Heights (South),307,0.8,"4,416",11.2,"25,034",63.5,"5,384",13.6
2017-21,NTA2020,611202,9,Washington Heights (North),279,0.7,"4,645",11.5,"25,731",63.9,"4,200",10.4
2017-21,NTA2020,611203,9,Inwood,117,0.6,"3,002",14.1,"13,377",62.9,"1,695",8
2017-21,NTA2020,810101,9,Astoria (North)-Ditmars-Steinway,341,1.3,"5,859",23.1,"14,037",55.3,"1,131",4.5
2017-21,NTA2020,810102,9,Old Astoria-Hallets Point,191,3.1,"1,310",21.2,"3,386",54.8,392,6.3
2017-21,NTA2020,810103,9,Astoria (Central),123,0.4,"3,414",11.7,"18,814",64.3,"1,825",6.2
2017-21,NTA2020,810104,9,Astoria (East)-Woodside (North),425,2.1,"3,434",17,"12,692",62.7,"1,354",6.7
2017-21,NTA2020,810105,9,Queensbridge-Ravenswood-Dutch Kills,358,3,"1,858",15.8,"6,999",59.4,962,8.2
2017-21,NTA2020,810201,9,Long Island City-Hunters Point,115,0.8,"1,474",9.7,"9,869",64.9,472,3.1
2017-21,NTA2020,810202,9,Sunnyside,534,2,"4,887",18.3,"16,273",61.1,"1,687",6.3
2017-21,NTA2020,810203,9,Woodside,193,0.8,"6,124",25,"14,647",59.8,"1,964",8
2017-21,NTA2020,810301,9,Jackson Heights,729,1.6,"10,250",23.2,"24,183",54.7,"3,966",9
2017-21,NTA2020,810302,9,East Elmhurst,157,1.5,"3,655",35.4,"5,333",51.6,563,5.5
2017-21,NTA2020,810303,9,North Corona,231,1,"4,228",18.6,"15,393",67.8,"2,086",9.2
2017-21,NTA2020,810401,9,Elmhurst,278,0.5,"10,493",20.4,"33,688",65.6,"3,380",6.6
2017-21,NTA2020,810402,9,Corona,192,0.6,"7,772",23.2,"20,570",61.5,"3,386",10.1
2017-21,NTA2020,810501,9,Maspeth,133,0.6,"9,836",47.7,"8,236",39.9,"1,158",5.6
2017-21,NTA2020,810502,9,Ridgewood,711,1.9,"8,197",21.7,"22,516",59.7,"2,566",6.8
2017-21,NTA2020,810503,9,Glendale,127,0.7,"8,654",48.8,"6,691",37.7,"1,046",5.9
2017-21,NTA2020,810504,9,Middle Village,64,0.4,"8,721",48.2,"7,121",39.3,634,3.5
